Sl. No.,State/UT,e-2W,e-3W,Total
1,Andaman and Nicobar Islands,17,NA,17
2,Andhra Pradesh,39331,2640,41971
3,Arunachal Pradesh,18,NA,18
4,Assam,2464,12111,14575
5,Bihar,13672,10136,23808
6,Chhattisgarh,24193,2393,26586
7,Chandigarh,1220,140,1360
8,Daman and Diu,130,8,138
9,Delhi,19704,3433,23137
10,Goa,6421,17,6438
11,Gujarat,49118,1187,50305
12,Himachal Pradesh,765,68,833
13,Haryana,14019,864,14883
14,Jharkhand,6015,1872,7887
15,Jammu and Kashmir,1996,5874,7870
16,Karnataka,100901,6343,107244
17,Kerala,49248,3156,52404
18,Ladakh,4,NA,4
19,Lakshadweep,5,1,6
20,Maharashtra,170413,6842,177255
21,Meghalaya,121,163,284
22,Manipur,7,193,200
23,Madhya Pradesh,49204,3354,52558
24,Mizoram,430,NA,430
25,Nagaland,5,NA,5
26,Odisha,45926,1678,47604
27,Punjab,16553,737,17290
28,Puducherry,3361,187,3548
29,Rajasthan,58638,2450,61088
30,Shillong ,1,1,2
31,Telangana,45572,2909,48481
32,Tamil Nadu,93159,1683,94842
33,Tripura,356,6811,7167
34,Uttarakhand,5881,1765,7646
35,Uttar Pradesh,67384,39062,106446
36,West Bengal,19387,3323,22710
Total,Total,905639,121401,1027040
